ID,CNPJ,CGF,EMPRESA,MUNICÍPIO,CNAE (ATIVIDADE PRINCIPAL),DATA INÍCIO,VIGÊNCIA,PROGRAMA,EMPREGOS PI,OBS,Status,Parceira SPE
74,3884180000100,6.304.353-0,AARON INDUSTRIA DE ROTULOS E ETIQUETAS ADESIVAS S.A.,EUSÉBIO,"17.41-9-02 - Fabricação de produtos de papel, cartolina, papel cartão e papelão ondulado para uso comercial e de escritório, exceto formulário contínuo",30/06/2003,31/12/2032,PROVIN,63,-,Em andamento,SIM
34,7557333001056,6.358.125-6,AÇO CEARENSE COMERCIAL LTDA                                 ,CAUCAIA,"46.85-1-00 - Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção",30/11/2013,31/12/2027,PCDM,16,-,Em andamento,NÃO
51,990842000138,6.965.086-1,AÇO CEARENSE INDUSTRIAL LTDA,CAUCAIA,24.31-8-00 - Produção de tubos de aço com costura,31/03/1997,31/12/2032,PROADE,180,-,Em andamento,NÃO
44,990842000308,6.188.473-1,AÇO CEARENSE INDUSTRIAL LTDA,CAUCAIA,24.31-8-00 - Produção de tubos de aço com costura,30/04/2006,31/12/2032,PROADE,90,-,Em andamento,NÃO
336,10567693000152,6.377.505-0,ADEL COCO BRASIL INDUSTRIA E COMERCIO LTDA,TRAIRI,10.31-7-00 - Fabricação de conservas de frutas,31/05/2010,30/04/2030,PROVIN,352,-,Em andamento,SIM
245,42340749000128,6.372.197-0,ADVENTURES OFF ROAD EMPREENDIMENTOS AUTOMOTIVOS S.A.,MARACANAÚ,"29.10-7-01 - Fabricação de automóveis, camionetas e utilitários",31/08/2025,31/12/2032,PROVIN,77,-,Em andamento,NÃO
55,12528708000441,6.300.658-8,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A,CAUCAIA,"27.10-4-01 - Fabricação de geradores de corrente contínua e alternada, peças e acessórios",28/02/2022,31/01/2032,PIER,651,-,Em andamento,NÃO
52,12528708000107,6.411.919-0,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S/A,CAUCAIA,"27.10-4-01 - Fabricação de geradores de corrente contínua e alternada, peças e acessórios",30/06/2012,31/05/2032,PIER,340,-,Em andamento,SIM
107,7157605000130,6.138.039-3,AGATEK INDUSTRIA E COMERCIO LTDA,FORTALEZA,22.29-3-99 - Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,31/12/2006,30/11/2029,PROVIN,74,-,Em andamento,SIM
172,5373212000995,6.198.201-6,AGROPAULO AGROINDUSTRIAL S/A,JAGUARUANA,01.61-0-99 - Atividades de apoio à agricultura não especificadas anteriormente,31/12/2006,31/07/2027,PROVIN,260,-,Em andamento,SIM
265,4611905000159,6.314.875-7,AGUIA INDUSTRIA E COMERCIO DE MOVEIS LTDA,MARCO,31.01-2-00 - Fabricação de móveis com predominância de madeira,31/05/2015,30/04/2027,PROVIN,118,-,Em andamento,NÃO
128,37170760000157,6.257.363-2,AGUIAR INDÚSTRIA E COMÉRCIO DE AÇO LTDA,GRANJA,"24.24-5-02 - Produção de relaminados, trefilados e perfilados de aço, exceto arames",31/01/2025,31/12/2032,PROVIN,30,-,Em andamento,SIM
201,36336372000130,6.137.239-0,ALFPACK INDUSTRIA E COMERCIO DE EMBALAGENS LTDA,MARACANAÚ,17.31-1-00 - Fabricação de embalagens de papel,31/03/2022,28/02/2030,PROVIN,50,-,Em andamento,NÃO
278,14980121000151,6.611.395-4,ALLIANCE QUÍMICA INDUSTRIA E COMERCIO LTDA,PACATUBA,20.11-8-00 - Fabricação de cloro e álcalis,30/04/2015,31/03/2031,PROVIN,20,-,Em andamento,NÃO
156,13767601000176,6.493.321-0,ALLQUIMICA INDUSTRIA E COMERCIO DE TINTAS S/A,ITAITINGA,"20.71-1-00 - Fabricação de tintas, vernizes, esmaltes e lacas",31/03/2019,28/02/2029,PROVIN,57,-,Em andamento,SIM
160,14938710000171,6.592.722-2,ALPHA MOTION INDUSTRIA DE MOLEJOS DO NORDESTE LTDA.,ITAITINGA,31.02-1-00 - Fabricação de móveis com predominância de metal,31/12/2016,30/11/2026,PROVIN,260,-,Em andamento,SIM
64,1483689000204,6.982.803-2,ALUMINIO LUZIE IMPORTACAO E EXPORTACAO LTDA,CRATO,25.93-4-00 - Fabricação de artigos de metal para uso doméstico e pessoal,30/06/1997,31/05/2027,PROVIN,200,-,Em andamento,NÃO
274,10483444000260,6.871.946-9,ALVOAR LACTEOS NORDESTE S/A,MORADA NOVA,10.52-0-00 - Fabricação de laticínios,31/07/2004,31/03/2031,PROVIN,40,-,Em andamento,NÃO
322,9177724000341,6.731.114-8,AMAZON TEMPER INDUSTRIA E COMERCIO DE VIDROS TEMPERADOS LTDA,SOBRAL,23.11-7-00 - Fabricação de vidro plano e de segurança,31/12/2022,30/11/2032,PROVIN,250,-,Em andamento,SIM
4,9177724000180,6.355.290-6,AMAZON TEMPER INDÚSTRIA E COMÉRCIO DE VIDROS TEMPERADOS LTDA,AQUIRAZ,23.11-7-00 - Fabricação de vidro plano e de segurança,31/05/2011,30/04/2026,PROVIN,76,-,Em andamento,NÃO
12,7526557000886,6.315.393-9,AMBEV S.A.,AQUIRAZ,11.13-5-02 - Fabricação de cervejas e chopes,31/08/2009,31/12/2032,PROVIN,800,-,Em andamento,NÃO
192,16625236000153,6.615.845-1,AMBIPAR ENVIRONMENT CIRCULAR ECONOMY NORDESTE LTDA,JUAZEIRO DO NORTE,20.31-2-00 - Fabricação de resinas termoplásticas,31/07/2022,30/06/2032,PROVIN,150,-,Em andamento,SIM
193,8143344000323,6.238.249-7,AMBIPAR ENVIRONMENT ECONOMIA CIRCULAR NORDESTE S.A.,JUAZEIRO DO NORTE,46.87-7-03 - Comércio atacadista de resíduos e sucatas metálicos,01/08/2021,31/12/2028,PCDM,100,-,Em andamento,NÃO
329,22553497000108,6.661.570-4,ANA ROCHELLE SOUSA ROCHA EIRELI,TABULEIRO DO NORTE,16.10-2-04 - Serrarias sem desdobramento de madeira em bruto -Resserragem,28/02/2022,31/01/2032,PROVIN,50,-,Em andamento,NÃO
296,94316999000983,6.695.441-0,ANIGER CALÇADOS SUPRIMENTOS E EMPREENDIMENTOS LTDA,QUIXERAMOBIM,15.31-9-01 - Fabricação de calçados de couro,30/09/1999,31/12/2032,PROADE,300,-,Em andamento,NÃO
202,17469701007260,6.177.313-1,ARCELORMITTAL BRASIL S/A,MARACANAÚ,24.24-5-01 - Produção de arames de aço,30/11/2002,31/10/2023,PROVIN,50,Prorrogação em andamento.,Em andamento,NÃO
311,9509535000167,6.369.166-3,ARCELORMITTAL PECÉM S.A.,SÃO GONÇALO DO AMARANTE,24.21-1-00 - Produção de semi-acabados de aço,31/12/2016,31/12/2032,PROADE,4000,-,Em andamento,SIM
49,21499024000107,6.433.597-6,ARGAMASSAS COLAMIX EIRELI,CAUCAIA,"23.30-3-99 - Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",28/02/2016,31/01/2032,PROVIN,140,-,Em andamento,SIM
241,45948091000120,7.061.137-8,ASC INDÚSTRIA E COMÉRCIO DE COLCHÕES E ESPUMAS LTDA,MARACANAÚ,31.04-7-00 - Fabricação de colchões,30/04/2023,31/03/2028,PROVIN,135,-,Em andamento,SIM
200,1791741000109,6.988.652-0,ASFALTOS NORDESTE LTDA,MARACANAÚ,"20.73-8-00 - Fabricação de impermeabilizantes, solventes e produtos afins",31/05/2000,31/10/2032,PROVIN,48,-,Em andamento,SIM
209,13923945000127,6.568.733-7,AVCO POLÍMEROS DO BRASIL S.A.,MARACANAÚ,20.93-2-00 - Fabricação de aditivos de uso industrial,31/07/2012,30/06/2028,PROVIN,67,-,Em andamento,SIM
331,91967067000317,6.725.416-0,BAKOF PLÁSTICOS LTDA,TAUÁ,"22.29-3-03 - Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios",30/09/2014,31/08/2026,PROVIN,102,-,Em andamento,NÃO
210,23464852000135,6.887.780-3,BEATRIZ TEXTIL S/A,MARACANAÚ,13.11-1-00 - Preparação e fiação de fibras de algodão,31/05/2000,31/12/2027,PROVIN,100,-,Em andamento,NÃO
318,2313082000150,6.997.773-9,BEPLAST NORDESTE INDUSTRIA E COMERCIO DE PLASTICOS LTDA,SOBRAL,22.29-3-02 - Fabricação de artefatos de material plástico para usos industriais,30/11/2014,31/12/2032,PROVIN,126,-,Em andamento,SIM
246,8386287000141,6.270.923-2,BERMAS MARACANAÚ INDÚSTRIA E COMÉRCIO DE COURO LTDA,MARACANAÚ,15.10-6-00 - Curtimento e outras preparações de couro,31/08/2000,31/12/2032,PROVIN,200,-,Em andamento,SIM
341,20495547000112,,BIOCOL IMPORTADORA E DISTRIBUIDORA LTDA EPP,,,31/08/2023,31/12/2027,PCDM,9,,Em andamento,NÃO
90,2290657000166,6.514.273-0,BIODIS INDUSTRIAL LTDA,EUSÉBIO,10.99-6-07 - Fabricação de alimentos dietéticos e complementos alimentares,31/08/2025,31/12/2032,PROVIN,110,-,Em andamento,SIM
