cod_ibge;municipio;tipo_estabelecimento;tipo_relacao;cruz_cnpj;razao_social;empresa_condec;programa_condec;vinculos_rais;na_rais;na_condec;Latitude;Longitude;Query_Geocodificacao;Status_Geocodificacao
2304400;Fortaleza;matriz;filial_mesma_raiz;48785000172;INDAIA BRASIL AGUAS MINERAIS LTDA;;;85;sim;nao;-3,739272;-38,539073;PRACA DA IMPRENSA CHANCELER EDSON QUEIROZ, S/N, DIONISIO TORRES, Fortaleza, 60135-690, Brasil;ok
2304400;Fortaleza;filial;filial_mesma_raiz;48785000334;INDAIA BRASIL AGUAS MINERAIS LTDA;;;2;sim;nao;-3,800769;-38,454141;RUA ANTONIO NOGUEIRA, 271, 278, LAGOA REDONDA, Fortaleza, 60836-095, Brasil;ok
2305233;Horizonte;filial;protocolo_na_rais;48785002892;INDAIA BRASIL AGUAS MINERAIS LTDA;INDAIA BRASIL AGUAS MINERAIS LTDA;PROVIN;236;sim;sim;-4,06535;-38,43112;RUA CELSO SILVA ASSUNCAO, 14200, TANQUES, Horizonte, 62883-670, Brasil;ok
2307700;Maranguape;matriz;protocolo_na_rais;153282000167;CESDE INDUSTRIA E COMERCIO DE ELETRODOMESTICOS LTDA;CESDE INDUSTRIA E COMERCIO DE ELETRODOMESTICOS LTDA;PROVIN;395;sim;sim;-3,8828;-38,6811;AVENIDA COMANDANTE AVIADOR CHILDERICO MOTTA, 3599, GALPAOA, COITE, Maranguape, 61946-345, Brasil;falha
2307700;Maranguape;filial;protocolo_sem_rais;153282001058;CESDE INDUSTRIA E COMERCIO DE ELETRODOMESTICOS LTDA;CESDE INDUSTRIA E COMERCIO DE ELETRODOMESTICOS LTDA;PCDM;0;nao;sim;-3,8828;-38,6811;AVENIDA COMANDANTE AVIADOR CHILDERICO MOTTA, 3599, GALPAOB, COITE, Maranguape, 61946-345, Brasil;falha
2309607;Pacajus;matriz;protocolo_na_rais;310707000102;RIGESA DO NORDESTE SA;WESTROCK DO NORDESTE INDÚSTRIA DE EMBALAGENS LTDA;PROVIN;1;sim;sim;;;;ignorado_endereco_insuficiente
2301109;Aracati;filial;protocolo_na_rais;435078000210;J.F. DA CUNHA INDUSTRIA E COMERCIO DE CALCADOS LTDA;J.F. DA CUNHA INDUSTRIA E COMERCIO DE CALCADOS LTDA;PROVIN;176;sim;sim;-4,573047;-37,775986;RUA MIGUEL DE CARVALHO, 215, GALPAO1, FARIAS BRITO, Aracati, 62800-000, Brasil;ok
2311801;Russas;matriz;protocolo_na_rais;465813000157;DAKOTA;DAKOTA NORDESTE S/A;PROADE;2038;sim;sim;-4,9181876;-37,9905624;AVENIDA CORONEL ANTONIO CORDEIRO, 1001, TABULEIRO DO CATAVENTO, Russas, 62903-640, Brasil;ok
2305506;Iguatu;filial;protocolo_na_rais;465813000238;DAKOTA NORDESTE S/A;DAKOTA NORDESTE S/A;PROADE;1060;sim;sim;-6,393803;-39,408064;ESTRADA DO SITIO BAU, 1600, BAIRRO COHAB III, Iguatu, 63500-005, Brasil;ok
2307700;Maranguape;filial;protocolo_na_rais;465813000319;DAKOTA NORDESTE S/A;DAKOTA NORDESTE S/A;PROADE;1317;sim;sim;-3,899288;-38,6784019;RUA CONEGO HEITOR VIEIRA CAVALCANTE, 300, BAIRRO TANGUEIRA, Maranguape, 61940-005, Brasil;ok
2311306;Quixadá;filial;protocolo_na_rais;465813000580;DAKOTA NORDESTE S/A;DAKOTA NORDESTE S/A FILIAL 4;PROADE;548;sim;sim;-4,97384;-39,018641;TRAVESSA JOSE CAPISTRANO FILHO, 429, CURICACA, Quixadá, 63902-875, Brasil;ok
2313807;Uruburetama;filial;protocolo_na_rais;794161001508;ZZSAP INDUSTRIA E COMERCIO DE CALCADOS LTDA;ZZSAP INDÚSTRIA E COMÉRCIO DE CALÇADOS LTDA;PROADE;1079;sim;sim;-3,618695;-39,510848;ESTRADA DO CAPEBA, 220, PAVLH 2, UBATUBA, Uruburetama, 62650-000, Brasil;ok
2313559;Tururu;filial;filial_mesma_raiz;794161001680;ZZSAP INDUSTRIA E COMERCIO DE CALCADOS LTDA;;;158;sim;nao;-3,596455;-39,439441;AVENIDA JOAO DO PATRICIO, 716, CENTRO, Tururu, 62655-000, Brasil;ok
2305233;Horizonte;matriz;protocolo_na_rais;954394000117;VULCABRAS DO NORDESTE;VULCABRÁS - CE, CALÇADOS E ARTIGOS ESPORTIVOS S.A.;PROVIN;14497;sim;sim;-4,1073242;-38,4923328;AVENIDA PRESIDENTE CASTELO BRANCO, 6847, DISTRITO INDUSTRIAL, Horizonte, 62884-790, Brasil;ok
2305233;Horizonte;filial;filial_mesma_raiz;954394000974;VULCABRAS - CE, CALCADOS E ARTIGOS ESPORTIVOS S/A;;;13;sim;nao;-19,9532428;-44,0104411;AVENIDA PRESIDENTE CASTELO BRANCO, 6847, BLOCO X, DISTRITO INDUSTRIAL, Horizonte, 62884-790, Brasil;ok
2303709;Caucaia;matriz;protocolo_na_rais;990842000138;ACO CEARENSE INDUSTRIAL LTDA;AÇO CEARENSE INDUSTRIAL LTDA;PROADE;1637;sim;sim;-3,735001;-38,740057;RODOVIA ANTIGA BR 222, S/N, KM 19, GENIPABU, Caucaia, 61616-000, Brasil;ok
2303709;Caucaia;filial;protocolo_na_rais;990842000308;ACO CEARENSE INDUSTRIAL LTDA;AÇO CEARENSE INDUSTRIAL LTDA;PROADE;639;sim;sim;-3,716167;-38,667422;RODOVIA BR 222, S/N, KM 21, GENIPABU, Caucaia, 61616-000, Brasil;ok
