dado,aba_portal,link_planilha,arquivo_origem
"Workbook portal (todas as abas do XLSX)","Página Inicial; Programas; Análises (+ abas da API)","https://docs.google.com/spreadsheets/d/e/2PACX-1vRg7NchDQ_1Sk7xbkyF3p8SDurWBGvU2WF_FOFCHgDLBsiqlZGlTHsUt-FMgun6hLCyPMbRO9HYkTU3/pub?output=xlsx","backend/services/sheets.py"
"CAGED municipal","Dados CAGED; Página Inicial (tendência)","https://docs.google.com/spreadsheets/d/e/2PACX-1vS8xs8t6M_BUp6ZfJa501mp3_zD0zhu13bHQxrq2xjfvElfAe_abXC6Pzb0Nubm7aH3aZcFIsAZi41X/pub?output=csv&single=true","frontend/js/map-ce-regioes.js; frontend/js/home-trend.js"
"CAGED por grupamento","CAGED Grupamentos","https://docs.google.com/spreadsheets/d/e/2PACX-1vQonzVybY3GpyG0D-l5xCoWMfd_OKDUQPo7gjPzl6_VWd7mDroCO_VypQvYM7elL-ZelYrS76CJcjYS/pub?gid=0&single=true&output=csv","frontend/js/caged-grupamentos.js"
"Servidores municipais","Perfil Municipal","https://docs.google.com/spreadsheets/d/e/2PACX-1vRY77niZrgeJpcmKNv8BWEUyetRRYARaBk-nRzUFqSvJbTF1OdkneesuAJOHWSg0FVwamjEBJsviFJz/pub?output=csv&single=true&gid=0","frontend/js/map-ce-regioes.js"
"Bolsa Família","Perfil Municipal","https://docs.google.com/spreadsheets/d/e/2PACX-1vRY77niZrgeJpcmKNv8BWEUyetRRYARaBk-nRzUFqSvJbTF1OdkneesuAJOHWSg0FVwamjEBJsviFJz/pub?output=csv&single=true&gid=348511521","frontend/js/map-ce-regioes.js"
"BPC","Perfil Municipal","https://docs.google.com/spreadsheets/d/e/2PACX-1vRY77niZrgeJpcmKNv8BWEUyetRRYARaBk-nRzUFqSvJbTF1OdkneesuAJOHWSg0FVwamjEBJsviFJz/pub?output=csv&single=true&gid=971288912","frontend/js/map-ce-regioes.js"
"MEI","Perfil Municipal","https://docs.google.com/spreadsheets/d/e/2PACX-1vRY77niZrgeJpcmKNv8BWEUyetRRYARaBk-nRzUFqSvJbTF1OdkneesuAJOHWSg0FVwamjEBJsviFJz/pub?output=csv&single=true&gid=364837787","frontend/js/map-ce-regioes.js"
"Aposentados","Perfil Municipal","https://docs.google.com/spreadsheets/d/e/2PACX-1vRY77niZrgeJpcmKNv8BWEUyetRRYARaBk-nRzUFqSvJbTF1OdkneesuAJOHWSg0FVwamjEBJsviFJz/pub?output=csv&single=true&gid=354167679","frontend/js/map-ce-regioes.js"
"Emprego","Perfil Municipal","https://docs.google.com/spreadsheets/d/e/2PACX-1vRY77niZrgeJpcmKNv8BWEUyetRRYARaBk-nRzUFqSvJbTF1OdkneesuAJOHWSg0FVwamjEBJsviFJz/pub?output=csv&single=true&gid=348392125","frontend/js/map-ce-regioes.js"
"PIB per capita","Perfil Empresas","https://docs.google.com/spreadsheets/d/e/2PACX-1vRY77niZrgeJpcmKNv8BWEUyetRRYARaBk-nRzUFqSvJbTF1OdkneesuAJOHWSg0FVwamjEBJsviFJz/pub?output=csv&single=true&gid=1494490307","frontend/js/map-ce-regioes.js"
"Ceará Credi","Ceará Credi; Página Inicial (programas)","https://docs.google.com/spreadsheets/d/e/2PACX-1vRTxX3SN-bCMQyty2wj0A3_uwzfy5kBAh0Cwuc5cYLn1VxdrpU7n4phpN23xPz7zGUzsKp9rgMvbXR_/pub?gid=1454518536&single=true&output=csv","frontend/js/map-ce-regioes.js; frontend/js/home-programs.js"
"Município Simples","Perfil Empresas","https://docs.google.com/spreadsheets/d/e/2PACX-1vRY77niZrgeJpcmKNv8BWEUyetRRYARaBk-nRzUFqSvJbTF1OdkneesuAJOHWSg0FVwamjEBJsviFJz/pub?output=csv&single=true&gid=161725561","frontend/js/map-ce-regioes.js"
"Empresa por grupamento","Perfil Empresas","https://docs.google.com/spreadsheets/d/e/2PACX-1vRY77niZrgeJpcmKNv8BWEUyetRRYARaBk-nRzUFqSvJbTF1OdkneesuAJOHWSg0FVwamjEBJsviFJz/pub?output=csv&single=true&gid=1090071272","frontend/js/map-ce-regioes.js"
"Empresas por vínculos","Perfil Empresas","https://docs.google.com/spreadsheets/d/e/2PACX-1vRY77niZrgeJpcmKNv8BWEUyetRRYARaBk-nRzUFqSvJbTF1OdkneesuAJOHWSg0FVwamjEBJsviFJz/pub?output=csv&single=true&gid=1940925772","frontend/js/map-ce-regioes.js"
"Vínculo por escolaridade","Perfil Empresas","https://docs.google.com/spreadsheets/d/e/2PACX-1vRY77niZrgeJpcmKNv8BWEUyetRRYARaBk-nRzUFqSvJbTF1OdkneesuAJOHWSg0FVwamjEBJsviFJz/pub?output=csv&single=true&gid=1538511558","frontend/js/map-ce-regioes.js"
"Vínculo por sexo","Perfil Empresas","https://docs.google.com/spreadsheets/d/e/2PACX-1vRY77niZrgeJpcmKNv8BWEUyetRRYARaBk-nRzUFqSvJbTF1OdkneesuAJOHWSg0FVwamjEBJsviFJz/pub?output=csv&single=true&gid=101580331","frontend/js/map-ce-regioes.js"
